Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,FAR.Description,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Total.Fatal.Serious,Plane.Type
20170710X52551,Accident,NYC79AA106,1979-09-17,"BOSTON, MA",United States,Non-Fatal,Airplane,CF-TLU,MCDONNELL DOUGLAS,DC9,No,Part 129: Foreign,0.0,0.0,1.0,44.0,0.0,MCDONNELL DOUGLAS DC9
20020909X01562,Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,Non-Fatal,Airplane,N2482N,CESSNA,140,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 140
20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,Non-Fatal,Airplane,N7967Q,CESSNA,401B,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 401B
20020917X02148,Accident,FTW82FRJ07,1982-01-02,"HOMER, LA",United States,Non-Fatal,Airplane,N14779,BELLANCA,17-30A,No,Part 91: General Aviation,0.0,0.0,1.0,0.0,0.0,BELLANCA 17-30A
20020917X02134,Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,Fatal(1),Airplane,N758SK,CESSNA,R172K,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,CESSNA R172K
20020917X02117,Accident,FTW82FPG08,1982-01-02,"LITTLE ROCK, AR",United States,Fatal(2),Airplane,N9779L,BEECH,19,No,Part 91: General Aviation,2.0,0.0,0.0,0.0,2.0,BEECH 19
20020917X01656,Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,Fatal(3),Airplane,N7641A,CESSNA,180,No,Part 91: General Aviation,3.0,0.0,0.0,0.0,3.0,CESSNA 180
20020917X02481,Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,Non-Fatal,Airplane,N25084,CESSNA,172,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 172
20020917X01894,Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,Non-Fatal,Airplane,N68812,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X01776,Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,Non-Fatal,Airplane,N1549Q,CESSNA,150L,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 150L
20020917X02333,Incident,LAX82IA034,1982-01-03,"VAN NUYS, CA",United States,Incident,Airplane,N5018P,PIPER,PA-24-180,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,PIPER PA-24-180
20020917X02255,Accident,LAX82FA040,1982-01-03,"10 NM W LEE VIN, CA",United States,Fatal(2),Airplane,N28912,GRUMMAN,AA-5B,No,Part 91: General Aviation,2.0,1.0,0.0,0.0,3.0,GRUMMAN AA-5B
20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,Fatal(8),Airplane,N2620L,CESSNA,414A,No,Part 91: General Aviation,8.0,0.0,0.0,0.0,8.0,CESSNA 414A
20020917X02483,Accident,NYC82DA018,1982-01-03,"WHITE PLAINS, NY",United States,Non-Fatal,Airplane,N7125D,MAULE,M-5-235C,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,MAULE M-5-235C
20020917X02340,Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,Non-Fatal,Airplane,N94252,CESSNA,210L,No,Part 91: General Aviation,0.0,0.0,1.0,1.0,0.0,CESSNA 210L
20020917X02155,Accident,LAX82DA035,1982-01-03,"SAN CLEMENTINE, CA",United States,Non-Fatal,Airplane,N8630V,BELLANCA,7GCBC,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,BELLANCA 7GCBC
20020917X01992,Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,Non-Fatal,Airplane,N71054,CESSNA,182,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,CESSNA 182
20020917X01960,Accident,DEN82DTI09,1982-01-03,"GREENOUGH, MT",United States,Non-Fatal,Airplane,N23069,AIR TRACTOR,AT-301,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,AIR TRACTOR AT-301
20020917X02618,Accident,SEA82FA015,1982-01-04,"PLEASANT HILL, OR",United States,Fatal(4),Airplane,N8265A,PIPER,PA-28-161,No,Part 91: General Aviation,4.0,0.0,0.0,0.0,4.0,PIPER PA-28-161
20020917X02254,Accident,LAX82FA038,1982-01-04,"NEAR LAS VEGAS, NV",United States,Fatal(2),Airplane,N1956H,PIPER,PA-34-200T,No,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,2.0,PIPER PA-34-200T
20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,Fatal(2),Airplane,N2CU,CESSNA,T337G,No,Part 91: General Aviation,2.0,2.0,0.0,0.0,4.0,CESSNA T337G
20020917X01991,Accident,FTW82DA035,1982-01-04,"ESTANCIA, NM",United States,Non-Fatal,Airplane,N32335,PIPER,PA-28R-200,No,Part 91: General Aviation,0.0,0.0,2.0,0.0,0.0,PIPER PA-28R-200
20020917X02410,Accident,MIA82FKA05,1982-01-04,SAINT CROIX,,Fatal(1),Airplane,N5151U,CESSNA,206,No,Part 91: General Aviation,1.0,0.0,1.0,0.0,1.0,CESSNA 206
20020917X02253,Accident,LAX82FA036,1982-01-05,"BLACK CANYON CI, AZ",United States,Fatal(1),Airplane,N4696Z,PIPER,PA-22,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,PIPER PA-22
20020917X01906,Accident,DCA82AA009,1982-01-05,"ITHACA, NY",United States,Fatal(2),Airplane,N546BA,PIPER,PA-31,No,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,2.0,PIPER PA-31
20020917X01764,Incident,ATL82IA029,1982-01-05,"PENSACOLA, FL",United States,Incident,Airplane,N5782N,ROCKWELL,114,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,ROCKWELL 114
20020917X01993,Accident,FTW82DA037,1982-01-05,"LONOKE, AR",United States,Non-Fatal,Airplane,N5304P,PIPER,PA-24-250,No,Part 91: General Aviation,0.0,1.0,0.0,1.0,1.0,PIPER PA-24-250
20020917X01658,Accident,ATL82DA028,1982-01-05,"GASTONIA, NC",United States,Non-Fatal,Airplane,N2139T,PIPER,PA-28R-200,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,PIPER PA-28R-200
20020917X02156,Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,Non-Fatal,Airplane,N738XP,CESSNA,TR182,No,Part 135: Air Taxi & Commuter,0.0,0.0,0.0,1.0,0.0,CESSNA TR182
20020917X01651,Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,Non-Fatal,Airplane,N3343S,CESSNA,A185F,No,Part 135: Air Taxi & Commuter,0.0,2.0,0.0,0.0,2.0,CESSNA A185F
20020917X01913,Accident,DEN82DA015,1982-01-06,"JACKSON, WY",United States,Non-Fatal,Airplane,N8070Q,BEECH,35,No,Part 91: General Aviation,0.0,0.0,0.0,3.0,0.0,BEECH 35
20020917X01777,Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,Non-Fatal,Airplane,N4900L,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 152
20020917X01757,Accident,ATL82FLG08,1982-01-06,"HILTON HEAD, SC",United States,Non-Fatal,Airplane,N201NH,MOONEY,M-20J,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,MOONEY M-20J
20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,Non-Fatal,Airplane,N59737,BOEING,A75,No,Part 91: General Aviation,0.0,1.0,0.0,1.0,1.0,BOEING A75
20020917X01964,Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,Fatal(2),Airplane,N9763X,CESSNA,210,No,Part 135: Air Taxi & Commuter,2.0,0.0,0.0,0.0,2.0,CESSNA 210
20020917X01659,Accident,ATL82DA031,1982-01-07,"WESTMINISTER, MD",United States,Non-Fatal,Airplane,N117P,BEECH,V35,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,BEECH V35
20020917X02414,Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,Fatal(1),Airplane,N80264,CESSNA,172M,No,Part 91: General Aviation,1.0,0.0,0.0,0.0,1.0,CESSNA 172M
20020917X01881,Accident,CHI82FA024,1982-01-08,"NEW PHILADELPHI, OH",United States,Fatal(1),Airplane,N207CB,PIPER,PA-28-140,No,Part 91: General Aviation,1.0,1.0,0.0,0.0,2.0,PIPER PA-28-140
20020917X02574,Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,Non-Fatal,Airplane,N6106U,CESSNA,TU206G,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA TU206G
20020917X02484,Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,Non-Fatal,Airplane,N46681,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X02431,Accident,MKC82DA026,1982-01-08,"LIBERTY, MO",United States,Non-Fatal,Airplane,N7618P,PIPER,PA-24-250,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER PA-24-250
20020917X01779,Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,Non-Fatal,Airplane,N6265P,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X01778,Accident,CHI82DA022,1982-01-08,"SANDUSKY, OH",United States,Non-Fatal,Airplane,N737LH,CESSNA,172N,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 172N
20020917X01717,Accident,ATL82DLG09,1982-01-08,"GRANTITEVILLE, SC",United States,Non-Fatal,Airplane,N25225,CESSNA,152,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 152
20020917X02246,Accident,LAX82DVG12,1982-01-09,"NAPA, CA",United States,Non-Fatal,Airplane,N731NZ,CESSNA,P210N,No,Part 91: General Aviation,0.0,1.0,0.0,3.0,1.0,CESSNA P210N
20020917X01995,Accident,FTW82DA039,1982-01-09,"FRUIT VALE, TX",United States,Non-Fatal,Airplane,N7355A,CESSNA,172,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 172
20020917X01994,Accident,FTW82DA038,1982-01-09,"TOMBALL, TX",United States,Non-Fatal,Airplane,N55489,PIPER,PA-34,No,Part 91: General Aviation,0.0,0.0,0.0,3.0,0.0,PIPER PA-34
20020917X02283,Accident,LAX82FJA03,1982-01-09,"MOKULEIA, HI",United States,Non-Fatal,Airplane,N5639V,CESSNA,305 (L-19),No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,CESSNA 305 (L-19)
20020917X01981,Accident,DEN82FTE15,1982-01-09,"STEAMBOAT SPRIN, CO",United States,Non-Fatal,Airplane,N2195G,CESSNA,182A,No,Part 91: General Aviation,0.0,0.0,0.0,1.0,0.0,CESSNA 182A
20020917X02341,Accident,MIA82DA032,1982-01-10,"OKEECHOBEE, FL",United States,Non-Fatal,Airplane,N567V,PIPER,PA-23-250,No,Part 91: General Aviation,0.0,2.0,0.0,0.0,2.0,PIPER PA-23-250
20020917X02158,Accident,LAX82DA041,1982-01-10,"BULLHEAD CITY, AZ",United States,Non-Fatal,Airplane,N2753J,CESSNA,172N,No,Part 91: General Aviation,0.0,0.0,0.0,4.0,0.0,CESSNA 172N
20020917X01882,Accident,CHI82FA025,1982-01-10,"WHEELING, IL",United States,Non-Fatal,Airplane,N6995Y,PIPER,23-250,No,Part 91: General Aviation,0.0,0.0,0.0,2.0,0.0,PIPER 23-250
20020917X01719,Accident,ATL82FA032,1982-01-10,"HENDERSON, NC",United States,Fatal(1),Airplane,N3688N,MOONEY,M20G,No,Part 91: General Aviation,1.0,1.0,0.0,0.0,2.0,MOONEY M20G
20020917X02305,Accident,LAX82FUQ07,1982-01-10,"MOJAVE, CA",United States,Non-Fatal,Airplane,N2644Q,CESSNA,TU206F,No,Part 91: General Aviation,0.0,0.0,4.0,0.0,0.0,CESSNA TU206F
20020917X01623,Accident,ANC82DA013,1982-01-10,"QUINHAGAK, AK",United States,Non-Fatal,Airplane,N756YN,CESSNA,U206,No,Part 135: Air Taxi & Commuter,0.0,0.0,3.0,0.0,0.0,CESSNA U206
